,0,1,2
2,1,United States,613
3,2,Japan (Host),556
4,3,Australia,478
5,4,Germany,425
6,5,China,406
7,6,France,398
8,7,Canada,381
9,8,Italy,381
10,9,Great Britain,376
11,10,ROC,335
12,11,Spain,321
13,12,Brazil,301
14,13,Netherlands,278
15,14,South Korea,237
16,15,New Zealand,211
17,16,Poland,210
18,17,Argentina,189
19,18,South Africa,177
20,19,Hungary,166
21,20,Mexico,162
22,21,Ukraine,155
23,22,Sweden,134
24,23,Egypt,133
25,24,India,126
26,25,Belgium,121
27,26,Ireland,116
28,27,Czech Republic,115
29,28,Turkey,108
30,29,Switzerland,107
31,30,Denmark,107
32,31,Romania,101
33,32,Belarus,101
34,33,Kazakhstan,93
35,34,Portugal,92
36,35,Israel,90
37,36,Serbia,86
38,37,Kenya,85
39,38,Greece,83
40,39,Norway,75
41,40,Colombia,70
42,41,Cuba,70
43,42,Chinese Taipei,68
44,43,Iran,66
45,44,Uzbekistan,65
46,45,Dominican Republic,62
47,46,Tunisia,62
48,47,Austria,60
49,48,Nigeria,60
50,49,Croatia,59
52,51,Slovenia,53
53,52,Jamaica,50
54,53,Morocco,50
55,54,Ecuador,48
56,55,Finland,45
58,57,Venezuela,44
59,58,Azerbaijan,44
60,59,Mongolia,43
61,60,Hong Kong,42
62,61,Thailand,42
63,62,Bulgaria,42
64,63,Lithuania,42
65,64,Slovakia,41
66,65,Ethiopia,38
67,66,Puerto Rico,37
68,67,Georgia,35
71,70,Latvia,33
72,71,Estonia,33
73,72,Bahrain,32
74,73,Fiji,30
75,74,Malaysia,30
77,76,Saudi Arabia,29
78,77,Indonesia,28
79,78,Ivory Coast,28
81,80,Uganda,25
87,86,Moldova,20
88,87,Philippines,19
90,89,Armenia,17
91,90,Bahamas,16
92,91,Kyrgyzstan,16
93,92,Qatar,16
96,95,Ghana,14
97,96,Jordan,14
98,97,Botswana,13
102,101,Kosovo,11
103,102,Kuwait,11
104,103,Namibia,11
113,112,Turkmenistan,9
117,116,North Macedonia,8
123,122,Burkina Faso,7
133,132,Grenada,6
140,139,Syria,6
155,154,San Marino,5
196,195,Bermuda,2
