Year,Country,Exports,Index
0,China,2.1796E+11,100
1,China,2.5597E+11,117.4391706
2,China,4.62071E+11,211.9980267
3,China,6.25332E+11,286.9022642
4,China,8.12612E+11,372.8261328
5,China,1.04629E+12,480.0397199
6,China,1.34153E+12,615.49503
7,China,1.60966E+12,738.5098318
8,China,1.37092E+12,628.9755172
9,China,1.79884E+12,825.3056218
0,Canada,3.26862E+11,100
1,Canada,3.22895E+11,98.78648812
2,Canada,3.50315E+11,107.1754613
3,Canada,4.11288E+11,125.8294222
4,Canada,4.71687E+11,144.307734
5,Canada,5.23771E+11,160.2424021
6,Canada,5.74241E+11,175.6830828
7,Canada,6.01988E+11,184.1720184
8,Canada,4.41587E+11,135.0991847
9,Canada,5.30366E+11,162.260167
0,United Kingdom,9.93189E+11,100
1,United Kingdom,1.20499E+12,121.3249762
2,United Kingdom,1.40834E+12,141.8002307
3,United Kingdom,1.34926E+12,135.8513918
4,United Kingdom,9.23106E+11,92.94371449
5,United Kingdom,9.78915E+11,98.56288852
6,United Kingdom,1.15029E+12,115.8177591
7,United Kingdom,1.0903E+12,109.7775411
8,United Kingdom,1.087E+12,109.4458456
9,United Kingdom,1.10808E+12,111.5678176
0,France,7.68078E+11,100
1,France,8.70583E+11,113.3456958
2,France,1.01719E+12,132.4338336
3,France,1.11232E+12,144.8180476
4,France,8.77713E+11,114.273948
5,France,9.31365E+11,121.2591605
6,France,1.06165E+12,138.2211252
7,France,1.00889E+12,131.3520165
8,France,1.04735E+12,136.3593404
9,France,1.06339E+12,138.4483765
0,Brazil,1.88996E+11,100
1,Brazil,2.49556E+11,132.0428836
2,Brazil,3.15251E+11,166.8030308
3,Brazil,2.90087E+11,153.4886926
4,Brazil,2.92506E+11,154.7684172
5,Brazil,2.71696E+11,143.7576728
6,Brazil,2.25957E+11,119.5567257
7,Brazil,2.30333E+11,121.8719236
8,Brazil,2.75689E+11,145.8702187
9,Brazil,2.88126E+11,152.450903
0,Spain,4.16765E+11,100
1,Spain,4.40045E+11,105.5859817
2,Spain,5.11915E+11,122.8306651
3,Spain,4.8036E+11,115.259268
4,Spain,5.18542E+11,124.4209448
5,Spain,5.28089E+11,126.7115018
6,Spain,4.6286E+11,111.0602071
7,Spain,4.81511E+11,115.5355024
8,Spain,5.29829E+11,127.1290593
9,Spain,5.76313E+11,138.282646
0,Japan,1.07188E+12,100
1,Japan,1.11975E+12,104.4655913
2,Japan,1.03338E+12,96.4077478
3,Japan,1.07704E+12,100.4815214
4,Japan,1.1543E+12,107.6890894
5,Japan,1.23334E+12,115.0631711
6,Japan,1.21792E+12,113.6240299
7,Japan,1.08845E+12,101.5458581
0,Turkey,2.31556E+11,100
1,Turkey,2.40493E+11,103.8595415
2,Turkey,2.14861E+11,92.79008102
3,Turkey,2.04335E+11,88.24431239
4,Turkey,2.27654E+11,98.31487847
5,Turkey,2.43667E+11,105.2302683
6,Turkey,2.51318E+11,108.5344366
7,Turkey,2.10618E+11,90.9576949
