,IOC,Country,Athletes
0,USA,United States,554
1,BRA,Brazil,465
2,GER,Germany,425
3,AUS,Australia,421
4,CHN,China,413
5,FRA,France,399
6,GBR,Great Britain,366
7,JPN,Japan,338
8,CAN,Canada,314
9,ITA,Italy,309
10,ESP,Spain,306
11,RUS,Russia,282
12,POL,Poland,243
13,NED,Netherlands,242
14,ARG,Argentina,213
15,KOR,South Korea,205
16,UKR,Ukraine,203
17,NZL,New Zealand,199
18,HUN,Hungary,160
19,SWE,Sweden,152
20,COL,Colombia,147
21,RSA,South Africa,137
22,MEX,Mexico,125
23,DEN,Denmark,122
24,BLR,Belarus,121
25,CUB,Cuba,120
26,EGY,Egypt,120
27,IND,India,117
28,BEL,Belgium,108
29,CZE,Czech Republic,105
30,KAZ,Kazakhstan,104
31,SRB,Serbia,104
32,SUI,Switzerland,104
33,TUR,Turkey,103
34,ROM,Romania,97
35,GRE,Greece,95
36,POR,Portugal,92
37,KEN,Kenya,89
38,CRO,Croatia,87
39,VEN,Venezuela,87
40,IRL,Ireland,77
41,NGR,Nigeria,75
42,AUT,Austria,71
43,UZB,Uzbekistan,70
44,JAM,Jamaica,68
45,LTU,Lithuania,67
46,ALG,Algeria,64
47,IRN,Iran,64
48,NOR,Norway,62
49,SLO,Slovenia,61
50,TUN,Tunisia,61
51,TPE,Chinese Taipei,60
52,AZE,Azerbaijan,56
53,FIN,Finland,56
54,THA,Thailand,54
55,BUL,Bulgaria,51
56,FIJ,Fiji,51
57,MAR,Morocco,51
58,SVK,Slovakia,51
59,ISR,Israel,48
60,EST,Estonia,45
61,MGL,Mongolia,43
63,PUR,Puerto Rico,42
64,GEO,Georgia,39
67,QAT,Qatar,38
68,BHR,Bahrain,35
69,PRK,North Korea,35
70,ETH,Ethiopia,34
73,ARM,Armenia,33
74,MAS,Malaysia,32
75,TTO,Trinidad and Tobago,32
77,DOM,Dominican Republic,29
79,BAH,Bahamas,28
80,INA,Indonesia,28
83,SGP,Singapore,25
87,VIE,Vietnam,23
95,PHI,Philippines,13
96,UAE,United Arab Emirates,13
101,CIV,Ivory Coast,12
116,BDI,Burundi,9
118,IOA,Independent Olympic Athletes,9
125,JOR,Jordan,8
126,KOS,Kosovo,8
133,GRN,Grenada,7
141,TJK,Tajikistan,7
158,NIG,Niger,6
